,content,id,stems
0,Make your own invisible cloak.,1279,"set([u'invis', u'make', u'cloak'])"
1,A tent that blends in with its sorouundings,1942,"set([u'a', u'sorouund', u'blend', u'tent'])"
2,invisibility cloak,2023,"set([u'invis', u'cloak'])"
3,an indoor mural that can change,208,"set([u'chang', u'indoor', u'mural'])"
4,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.,504,"set([u'use', u'fabric', u'pictur', u'frame', u'larger', u'scroll', u'electron', u'lighter', u'display', u'like'])"
5,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example.",803,"set([u'program', u'great', u'appear', u'would', u'artist', u'make', u'it', u'exampl', u'thing', u'base', u'time', u'canva', u'chang', u'differ', u'day'])"
6,Make pretty cool little pictures appear on a white surface,1330,"set([u'surfac', u'appear', u'pretti', u'pictur', u'make', u'littl', u'white', u'cool'])"
7,"Use it as a canvas for art, as it reacts to touch.",1424,"set([u'canva', u'react', u'use', u'art', u'touch'])"
8,Fabric posters that change display,2018,"set([u'poster', u'chang', u'fabric', u'display'])"
9,use to project paintings in frames so you can change the art at whim,2123,"set([u'use', u'whim', u'art', u'frame', u'project', u'paint', u'chang'])"
10,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost,291,"set([u'load', u'use', u'identifi', u'like', u'handkerchief', u'commun', u'peopl', u'imag', u'alzheim', u'lost', u'easili', u'inform', u'patient', u'they', u'otherwis', u'get', u'simpl', u'disabl', u'speak'])"
11,Door mat that could leave messages for people at the door.,1628,"set([u'door', u'mat', u'peopl', u'could', u'messag', u'leav'])"
12,it can be used to do skype sessions so someone can feel and touch objects,2177,"set([u'use', u'feel', u'object', u'someon', u'session', u'skype', u'touch'])"
13,It can be used by doctors in order to show patients and family members certain things,2187,"set([u'use', u'patient', u'show', u'certain', u'doctor', u'it', u'member', u'thing', u'famili', u'order'])"
14,use them on a float for a parade to show whatever theme you are trying to represent during the event,251,"set([u'tri', u'use', u'show', u'parad', u'float', u'repres', u'theme', u'whatev', u'event'])"
15,"hot air balloon shows,",1499,"set([u'hot', u'balloon', u'air'])"
16,Use during fashion shows to highlight clothing on the models.,1652,"set([u'use', u'fashion', u'show', u'cloth', u'highlight', u'model'])"
17,back drops for theater productions. This makes scenery easy to change from scene to scene,2124,"set([u'product', u'theater', u'easi', u'make', u'drop', u'back', u'scene', u'sceneri', u'thi', u'chang'])"
18,You can use it to display videos while taking shower or brushing your teeth.,654,"set([u'use', u'shower', u'video', u'take', u'teeth', u'you', u'display', u'brush'])"
19,A towel that is heat sensitive and adjusts its color otherwise.,1443,"set([u'a', u'towel', u'sensit', u'color', u'heat', u'adjust', u'otherwis'])"
20,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.,683,"set([u'offer', u'food', u'coat', u'could', u'restaur', u'display', u'chef', u'waiter', u'menu', u'imag'])"
21,Interactive menus at restaurants - press to learn more about an item,2130,"set([u'menu', u'interact', u'restaur', u'item', u'learn', u'press'])"
22,Menu boards for restaurants that can be changed or let people know when things are sold out,2145,"set([u'menu', u'sold', u'restaur', u'thing', u'let', u'board', u'peopl', u'chang', u'know'])"
23,Interactive text books for students,1603,"set([u'text', u'interact', u'book', u'student'])"
24,You can use it for research with aquatic animals. And show them stimulating photos underwater,1754,"set([u'and', u'use', u'anim', u'show', u'aquat', u'stimul', u'research', u'photo', u'you', u'underwat'])"
25,in the classroom make a giant interactive map,1973,"set([u'classroom', u'map', u'make', u'interact', u'giant'])"
26,It can be used in school as a way to show kids how different climates in different places might feel,2189,"set([u'use', u'school', u'climat', u'show', u'feel', u'it', u'place', u'way', u'differ', u'might', u'kid'])"
27,replays at the sporting event,1575,"set([u'replay', u'sport', u'event'])"
28,Schools can use it as a scoreboard at games,2148,"set([u'game', u'school', u'scoreboard', u'use'])"
29,It will remind you about daily activities.,746,"set([u'remind', u'activ', u'it', u'daili'])"
30,work projekcts,1066,"set([u'work', u'projekct'])"
31,keep reminders,1083,"set([u'remind', u'keep'])"
32,WiFi connectivity which could be used to search google right through the clothing.,1363,"set([u'search', u'right', u'googl', u'could', u'wifi', u'use', u'cloth', u'connect'])"
33,ability to write notes on clothes with touch sense,1591,"set([u'note', u'write', u'cloth', u'abil', u'touch', u'sens'])"
34,clothing with smartphone technology in a display,1810,"set([u'cloth', u'technolog', u'smartphon', u'display'])"
35,"a shirt that you can load data into the sleeve on, in case you need notes about something later",1921,"set([u'load', u'case', u'shirt', u'someth', u'later', u'note', u'sleev', u'need', u'data'])"
36,fabric billboards with advertisements,200,"set([u'billboard', u'advertis', u'fabric'])"
37,Create wearable advertisements where messages/brands on shirts/pants change periodically,573,"set([u'advertis', u'period', u'chang', u'creat', u'wearabl'])"
38,Business ad sheet display. Used to advertise business info in front of shop.,608,"set([u'info', u'shop', u'use', u'sheet', u'ad', u'busi', u'front', u'advertis', u'display'])"
39,Large advertising billboards that change based on time of day or day of the week in order to target different audiences.,806,"set([u'week', u'differ', u'target', u'day', u'audienc', u'base', u'larg', u'time', u'billboard', u'advertis', u'order', u'chang'])"
40,Personalized billboards from companies that reflect changes in weather.,1143,"set([u'reflect', u'person', u'weather', u'billboard', u'compani', u'chang'])"
41,use it as a billboard,1874,"set([u'billboard', u'use'])"
42,can create interactive billboards or street signs,1984,"set([u'billboard', u'interact', u'street', u'creat', u'sign'])"
43,Airplane draggable banner that can display anything,2004,"set([u'banner', u'airplan', u'draggabl', u'display', u'anyth'])"
44,clothing for people who enjoy going to raves,263,"set([u'enjoy', u'cloth', u'rave', u'go', u'peopl'])"
45,t-shirts with built in fabric display. It can be used at kids parties for fun.,646,"set([u'use', u'built', u'parti', u'it', u'fabric', u'fun', u'display', u'kid'])"
46,fabric glasses. You can wear it anytime and enjoy your movies or soothing images.,665,"set([u'enjoy', u'anytim', u'fabric', u'movi', u'imag', u'glass', u'sooth', u'wear', u'you'])"
47,Synchronization of clothing for public displays. [e.g. the opening ceremony of a grand event or for sports competitions.],1383,"set([u'event', u'competit', u'synchron', u'display', u'ceremoni', u'cloth', u'grand', u'sport', u'open', u'public'])"
48,Shirt shaped like a guitar perfect for strumming on the go.,1467,"set([u'perfect', u'shirt', u'guitar', u'shape', u'strum', u'go', u'like'])"
49,More realistic Halloween costumers,1770,"set([u'realist', u'halloween', u'costum', u'more'])"
50,Make bright vests that always glow for workers that work outside at night.,243,"set([u'vest', u'make', u'work', u'worker', u'alway', u'bright', u'outsid', u'night', u'glow'])"
51,light up children at night so parents can see them,1264,"set([u'light', u'see', u'children', u'parent', u'night'])"
52,Something to identify your child if he/she is lost or kidnapped. Like an alarm that goes off if the child goes off of an expected route to school or something. The clothing starts lighting up and grabs the attention of others.,1301,"set([u'school', u'identifi', u'like', u'lost', u'start', u'goe', u'light', u'someth', u'rout', u'cloth', u'other', u'expect', u'attent', u'child', u'grab', u'the', u'kidnap', u'alarm'])"
53,"Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress.",1600,"set([u'applic', u'fabric', u'color', u'notic', u'blink', u'caus', u'bright', u'emerg', u'wearer', u'distress'])"
54,"Bike shorts that display a bright yellow line down the side. You could turn these on via wi-fi on your phone, and turn it off when you get to your destination.",1660,"set([u'short', u'phone', u'via', u'could', u'get', u'yellow', u'side', u'turn', u'bright', u'bike', u'you', u'line', u'destin', u'display'])"
55,This could be great for joggers or people that work in high traffic areas to increase their safety and visibility.,1703,"set([u'great', u'safeti', u'area', u'jogger', u'peopl', u'could', u'work', u'high', u'traffic', u'thi', u'visibl', u'increas'])"
56,project your favorite logo on your clothes,139,"set([u'project', u'logo', u'favorit', u'cloth'])"
57,"Put it on a shirt and have ""image changing"" clothing.",285,"set([u'put', u'chang', u'imag', u'shirt', u'cloth'])"
58,you can have different colored shirts or pants very easily without needing to buy duplicates,308,"set([u'differ', u'buy', u'shirt', u'pant', u'color', u'easili', u'without', u'need', u'duplic'])"
59,"Interchangeable Uniform (one outfit programmed for the division, FBI/SWAT etc without having to print different sets)",364,"set([u'differ', u'set', u'without', u'interchang', u'outfit', u'one', u'divis', u'etc', u'program', u'print', u'uniform'])"
60,clothes that change color/pattern with emotion using the touch sensor,378,"set([u'use', u'emot', u'cloth', u'touch', u'chang', u'sensor'])"
61,"Sports clothes that can change through out the year, showing your support for your team as a season progresses.",385,"set([u'show', u'season', u'support', u'team', u'cloth', u'year', u'progress', u'chang', u'sport'])"
62,"Clothes that have interchangeable logos, etc.",552,"set([u'logo', u'cloth', u'etc', u'interchang'])"
63,sports teams gear,633,"set([u'sport', u'gear', u'team'])"
64,"Put indicators of mood on clothing. If you don't want to be bothered, put something that indicates that.",1159,"set([u'mood', u'bother', u'indic', u'cloth', u'want', u'put', u'someth', u'if'])"
65,Use for people to design their own t-shirts.  People could create a design on a computer and then upload the image to the shirt.,1280,"set([u'use', u'comput', u'shirt', u'creat', u'peopl', u'could', u'upload', u'design', u'imag'])"
66,a shirt that has a couple different patterns you can choose from to coordinate with your other clothes.,1310,"set([u'differ', u'shirt', u'coupl', u'cloth', u'pattern', u'coordin', u'choos'])"
67,Ties that can change styles with the touch of a button.,1315,"set([u'touch', u'tie', u'chang', u'style', u'button'])"
68,"Wearable picture frames that change pictures the way digital frames do, except you can wear these.",1332,"set([u'digit', u'pictur', u'frame', u'except', u'wear', u'way', u'wearabl', u'chang'])"
69,You can create shirts with watches in the cuffs.,1369,"set([u'cuff', u'you', u'watch', u'shirt', u'creat'])"
70,night light pajamas,1614,"set([u'light', u'pajama', u'night'])"
71,"Perfect clothes for a date, can change based on where you take your date and what's appropriate for the area.",1647,"set([u'perfect', u'appropri', u'area', u'cloth', u'base', u'take', u'date', u'chang'])"
72,"Since it is made out of fabric, this could one day be used as some sort of fashion item where images and videos are displayed onto a person's clothing.",1653,"set([u'sort', u'use', u'made', u'cloth', u'fabric', u'display', u'person', u'onto', u'could', u'one', u'item', u'fashion', u'video', u'imag', u'sinc', u'day'])"
73,Being able to change the patterns on your clothing to match your mood throughout the day,1654,"set([u'be', u'mood', u'pattern', u'abl', u'cloth', u'chang', u'throughout', u'day', u'match'])"
74,Clothing that can be changed from casual to formal colors and patterns.,1976,"set([u'color', u'pattern', u'cloth', u'chang', u'casual', u'formal'])"
75,color changing clothes.  The clothes change color everytime they are touched,2043,"set([u'everytim', u'color', u'cloth', u'touch', u'chang', u'the'])"
76,"A changeable room environment. Large panels of fabric hung like wallpaper on the walls of a room could create an entire environment to resemble a bamboo forest, for example, or an alpine lakeshore. The fabric could display moving wildlife such as pandas in the bamboo forest or birds on the shore of the mountain lake. The possibilities are endless!",215,"set([u'creat', u'wall', u'endless', u'move', u'alpin', u'panda', u'mountain', u'fabric', u'resembl', u'lake', u'larg', u'forest', u'panel', u'bird', u'wallpap', u'wildlif', u'lakeshor', u'entir', u'the', u'like', u'a', u'room', u'possibl', u'could', u'changeabl', u'shore', u'exampl', u'environ', u'hung', u'bamboo', u'display'])"
77,upholstery material that changes color or patterns,248,"set([u'color', u'pattern', u'materi', u'upholsteri', u'chang'])"
78,bed sheets (sold in adult stores) which display an array of colors during love making,306,"set([u'sheet', u'color', u'sold', u'bed', u'adult', u'love', u'array', u'display', u'store', u'make'])"
79,curtains that change colors/play background images like jungle scenery.,554,"set([u'like', u'imag', u'sceneri', u'background', u'jungl', u'curtain', u'chang'])"
80,Use it on table cloths. You could change it seasonally or just whenever you want depending on the function you're putting on.,1995,"set([u'function', u'use', u'depend', u'whenev', u'season', u'could', u'cloth', u'want', u'tabl', u'put', u'chang', u'you'])"
81,make pillows that look brighter during the day and darker at night (time based color shifting),2002,"set([u'look', u'color', u'shift', u'make', u'time', u'day', u'brighter', u'base', u'night', u'pillow', u'darker'])"
82,"Furniture, changes when you sit on it or based on the users desire.",2149,"set([u'desir', u'sit', u'base', u'user', u'furnitur', u'chang'])"
83,Curtains that block light but project the view outside,2156,"set([u'light', u'project', u'outsid', u'curtain', u'block', u'view'])"
84,"If your bedsheets could display a high resolution image of a super model, well then you'd be set for life.",2218,"set([u'life', u'set', u'super', u'could', u'resolut', u'well', u'high', u'bedsheet', u'model', u'imag', u'display', u'if'])"
85,night light for kids room,1334,"set([u'light', u'kid', u'room', u'night'])"
86,Pillows with built-in sleep sounds and visuals.,1637,"set([u'sound', u'visual', u'sleep', u'pillow'])"
87,Mood changing bed comforter,2047,"set([u'chang', u'comfort', u'mood', u'bed'])"
88,"An interactive sheet for pets.  They can lay on it, and it'll keep them entertained.",1865,"set([u'sheet', u'pet', u'interact', u'an', u'entertain', u'lay', u'they', u'keep'])"
89,Can be used as a part of a phone.,766,"set([u'phone', u'use', u'part', u'can'])"
90,Replace stiff monitors.,1107,"set([u'replac', u'monitor', u'stiff'])"
91,Integrate it somehow with 3D printing technology.,1195,"set([u'print', u'3d', u'technolog', u'integr', u'somehow'])"
92,hide a seek on a blanket,157,"set([u'seek', u'blanket', u'hide'])"
93,Make soft interactive baby toys that are safe for use even when parents aren't around.,237,"set([u'even', u'use', u'toy', u'around', u'parent', u'babi', u'make', u'safe', u'soft', u'interact'])"
94,Entertain a child,556,"set([u'entertain', u'child'])"
95,Tie in with Twister to make a spinner unneccesary - spots light up where the next body part should go.,592,"set([u'bodi', u'light', u'make', u'spot', u'next', u'spinner', u'unneccesari', u'part', u'go', u'tie', u'twister'])"
96,"Use it on the floor to make a far more realistic version of ""the floor is lava"" game",777,"set([u'use', u'realist', u'far', u'make', u'floor', u'lava', u'game', u'version'])"
97,games,1077,set([u'game'])
98,Make it into a trampoline - foot touch.,1251,"set([u'foot', u'touch', u'make', u'trampolin'])"
99,"make a rug that can display different games like twister, hopscotch etc.",1458,"set([u'differ', u'like', u'hopscotch', u'make', u'rug', u'etc', u'game', u'twister', u'display'])"
100,Dance floor carpet that flashes the next foot print spot after dancer hits appropriate spot.,1490,"set([u'appropri', u'hit', u'floor', u'flash', u'spot', u'next', u'print', u'dancer', u'foot', u'danc', u'carpet'])"
101,"It could be used as a versatile game board, like for board games.",1527,"set([u'use', u'like', u'could', u'it', u'versatil', u'game', u'board'])"
102,"A backpack for kids, they can play with it on the bus.",1569,"set([u'a', u'bu', u'backpack', u'play', u'kid'])"
103,Portable tv,521,"set([u'tv', u'portabl'])"
104,"Be able to use your computer on the go, on any surface with a piece of cloth.",1214,"set([u'be', u'use', u'comput', u'abl', u'surfac', u'piec', u'cloth', u'go'])"
105,"used with phone for larger screen/portability,",1482,"set([u'phone', u'use', u'larger'])"
106,use to show movies anywhere,1573,"set([u'use', u'movi', u'anywher', u'show'])"
107,Use the fabric as a projector to watch movies,1831,"set([u'use', u'movi', u'watch', u'fabric', u'projector'])"
108,Parents could show kids movies int he back seat of the car without having to have a portable DVD player.,1908,"set([u'parent', u'movi', u'int', u'car', u'could', u'show', u'back', u'seat', u'player', u'without', u'dvd', u'portabl', u'kid'])"
109,use it to project your smart phone screen,2155,"set([u'project', u'phone', u'use', u'screen', u'smart'])"
110,holders for different foods that display the food on the outside,272,"set([u'food', u'differ', u'holder', u'display', u'outsid'])"
111,An oven mit that is heat sensitive that turns red when something is very hot and cold when very cold.,1470,"set([u'sensit', u'someth', u'hot', u'an', u'turn', u'heat', u'oven', u'cold', u'mit', u'red'])"
112,Put a small piece in a car where it can display directions through touch.,337,"set([u'touch', u'car', u'piec', u'direct', u'small', u'put', u'display'])"
113,car upholstery that lightens in hot weather,444,"set([u'weather', u'car', u'lighten', u'upholsteri', u'hot'])"
114,Interactive map at a mall hang it up and touch were you want to go,1316,"set([u'map', u'interact', u'hang', u'go', u'mall', u'want', u'touch'])"
115,Use as a strategic planning surface in wartime. A foldable interactive map,1570,"set([u'a', u'map', u'use', u'foldabl', u'interact', u'wartim', u'surfac', u'strateg', u'plan'])"
116,to have the fabric on car doors so they can display images and videos while driving in traffic so other people will see the information while on the roads,2027,"set([u'door', u'fabric', u'car', u'imag', u'drive', u'inform', u'see', u'video', u'peopl', u'traffic', u'display', u'road'])"
117,Newspaper screen that expands certain articles when you touch them.,1408,"set([u'certain', u'screen', u'newspap', u'articl', u'touch', u'expand'])"
118,Perhaps a new medium to replace magazine pages?,1786,"set([u'medium', u'replac', u'magazin', u'perhap', u'new', u'page'])"
119,"Single page, fabric books that can keep a saved state and be changed.",2024,"set([u'fabric', u'keep', u'state', u'book', u'chang', u'save', u'page', u'singl'])"