,content,id,stems,edge_weights,prototypicality,cdf
0,Make your own invisible cloak.,1279,"set([u'invis', u'make', u'cloak'])","[0.07142857142857142, 1.0, 0.07142857142857142]",0.6,"[0.0, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 1.0]"
1,A tent that blends in with its sorouundings,1942,"set([u'a', u'sorouund', u'blend', u'tent'])","[0.2, 0.2, 0.2, 1.0, 1.0, 1.0]",0.7,"[0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]"
2,invisibility cloak,2023,"set([u'invis', u'cloak'])",[1.0],0.8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
3,an indoor mural that can change,208,"set([u'chang', u'indoor', u'mural'])","[0.041666666666666664, 0.041666666666666664, 1.0]",0.6,"[0.0, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 1.0]"
4,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.,504,"set([u'use', u'fabric', u'pictur', u'frame', u'larger', u'scroll', u'electron', u'lighter', u'display', u'like'])","[0.10810810810810811, 0.03125, 0.06451612903225806, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.11627906976744186, 0.08571428571428572, 0.07692307692307693, 0.07692307692307693, 0.08333333333333333, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.2608695652173913, 0.11764705882352941, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.05, 0.1, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.05, 0.1, 0.5, 0.5, 0.5, 0.05263157894736842, 0.1111111111111111, 1.0, 1.0, 0.05555555555555555, 0.125, 1.0, 0.05555555555555555, 0.125, 0.05555555555555555, 0.125, 0.13043478260869565]",0.4,"[0.0, 0.51111111111111118, 0.64444444444444449, 0.84444444444444455, 0.84444444444444455, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 1.0]"
5,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example.",803,"set([u'program', u'great', u'appear', u'would', u'artist', u'make', u'it', u'exampl', u'thing', u'base', u'time', u'canva', u'chang', u'differ', u'day'])","[0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.07142857142857142, 0.14285714285714285, 0.3333333333333333, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.25, 0.16666666666666666, 0.3333333333333333, 0.5, 0.5, 0.07142857142857142, 0.14285714285714285, 0.3333333333333333, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.1111111111111111, 0.16666666666666666, 0.5, 0.5, 0.15384615384615385, 0.14285714285714285, 0.3333333333333333, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.1111111111111111, 0.16666666666666666, 1.0, 0.07692307692307693, 0.16666666666666666, 0.5, 0.3333333333333333, 0.2, 0.3333333333333333, 0.5, 0.041666666666666664, 0.125, 0.2, 0.07692307692307693, 0.16666666666666666, 0.5, 0.3333333333333333, 0.2, 0.3333333333333333, 0.5, 0.041666666666666664, 0.125, 0.2, 0.05555555555555555, 0.07142857142857142, 0.06666666666666667, 0.125, 0.14285714285714285, 0.07142857142857142, 0.05714285714285714, 0.10526315789473684, 0.125, 0.14285714285714285, 0.2857142857142857, 0.1, 0.125, 0.14285714285714285, 0.034482758620689655, 0.16666666666666666, 0.1, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333, 0.04, 0.1111111111111111, 0.16666666666666666, 0.14285714285714285, 0.2, 0.25, 0.08, 0.1, 0.14285714285714285, 0.6, 0.16666666666666666, 0.16, 0.18181818181818182, 0.42857142857142855, 0.25, 0.08, 0.2222222222222222, 0.6, 0.04, 0.1111111111111111, 0.16666666666666666, 0.06666666666666667, 0.11538461538461539, 0.18181818181818182]",0.6,"[0.0, 0.26666666666666672, 0.61904761904761907, 0.8666666666666667, 0.87619047619047619, 0.97142857142857153, 0.99047619047619051, 0.99047619047619051, 0.99047619047619051, 1.0]"
6,Make pretty cool little pictures appear on a white surface,1330,"set([u'surfac', u'appear', u'pretti', u'pictur', u'make', u'littl', u'white', u'cool'])","[0.25, 0.3333333333333333, 0.2, 0.06666666666666667, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.25, 0.15384615384615385, 0.5, 0.5, 0.5, 0.3333333333333333, 0.07692307692307693, 1.0, 1.0, 1.0, 0.06666666666666667, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 1.0, 1.0, 1.0]",0.4,"[0.0, 0.21428571428571425, 0.2857142857142857, 0.64285714285714279, 0.64285714285714279, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 1.0]"
7,"Use it as a canvas for art, as it reacts to touch.",1424,"set([u'canva', u'react', u'use', u'art', u'touch'])","[0.5, 0.03225806451612903, 0.3333333333333333, 0.09090909090909091, 0.03333333333333333, 0.5, 0.1, 0.06666666666666667, 0.08108108108108109, 0.09090909090909091]",0.4,"[0.0, 0.70000000000000007, 0.70000000000000007, 0.80000000000000004, 0.80000000000000004, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,Fabric posters that change display,2018,"set([u'poster', u'chang', u'fabric', u'display'])","[0.041666666666666664, 0.09090909090909091, 0.05555555555555555, 0.06060606060606061, 0.024390243902439025, 0.2608695652173913]",0.6,"[0.0, 0.83333333333333337, 0.83333333333333337, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,use to project paintings in frames so you can change the art at whim,2123,"set([u'use', u'whim', u'art', u'frame', u'project', u'paint', u'chang'])","[0.03333333333333333, 0.06666666666666667, 0.06451612903225806, 0.0625, 0.03333333333333333, 0.058823529411764705, 0.5, 0.3333333333333333, 0.25, 1.0, 0.041666666666666664, 0.25, 0.2, 0.5, 0.04, 0.16666666666666666, 0.3333333333333333, 0.08, 0.25, 0.037037037037037035, 0.041666666666666664]",0.4,"[0.0, 0.52380952380952372, 0.61904761904761907, 0.85714285714285721, 0.85714285714285721, 0.95238095238095233, 0.95238095238095233, 0.95238095238095233, 0.95238095238095233, 1.0]"
10,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost,291,"set([u'load', u'use', u'identifi', u'like', u'handkerchief', u'commun', u'peopl', u'imag', u'alzheim', u'lost', u'easili', u'inform', u'patient', u'they', u'otherwis', u'get', u'simpl', u'disabl', u'speak'])","[0.03225806451612903, 0.3333333333333333, 0.1111111111111111, 0.5, 0.5, 0.125, 0.1, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.03225806451612903, 0.08571428571428572, 0.03333333333333333, 0.03333333333333333, 0.05714285714285714, 0.08333333333333333, 0.03333333333333333, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.06666666666666667, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.25, 0.5, 0.5, 0.125, 0.1, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.125, 0.125, 0.07142857142857142, 0.13333333333333333, 0.125, 0.25, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.125, 0.125, 0.125, 1.0, 0.14285714285714285, 0.1111111111111111, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.14285714285714285, 0.1111111111111111, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.23076923076923078, 0.14285714285714285, 0.125, 0.125, 0.2857142857142857, 0.125, 0.125, 0.125, 0.125, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.1111111111111111, 0.1, 0.1, 0.2222222222222222, 0.1, 0.1, 0.1, 0.1, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0]",0.4,"[0.0, 0.23391812865497078, 0.36257309941520471, 0.5906432748538013, 0.5906432748538013, 0.9064327485380117, 0.9064327485380117, 0.9064327485380117, 0.9064327485380117, 1.0]"
11,Door mat that could leave messages for people at the door.,1628,"set([u'door', u'mat', u'peopl', u'could', u'messag', u'leav'])","[0.5, 0.2857142857142857, 0.07692307692307693, 0.5, 0.5, 0.14285714285714285, 0.08333333333333333, 1.0, 1.0, 0.1875, 0.14285714285714285, 0.14285714285714285, 0.08333333333333333, 0.08333333333333333, 1.0]",0.4,"[0.0, 0.26666666666666666, 0.53333333333333333, 0.59999999999999998, 0.59999999999999998, 0.79999999999999993, 0.79999999999999993, 0.79999999999999993, 0.79999999999999993, 1.0]"
12,it can be used to do skype sessions so someone can feel and touch objects,2177,"set([u'use', u'feel', u'object', u'someon', u'session', u'skype', u'touch'])","[0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.08108108108108109, 0.5, 0.5, 0.5, 0.5, 0.09090909090909091, 1.0, 1.0, 1.0, 0.1, 1.0, 1.0, 0.1, 1.0, 0.1, 0.1]",0.5,"[0.0, 0.52380952380952372, 0.52380952380952372, 0.52380952380952372, 0.52380952380952372, 0.71428571428571419, 0.71428571428571419, 0.71428571428571419, 0.71428571428571419, 1.0]"
13,It can be used by doctors in order to show patients and family members certain things,2187,"set([u'use', u'patient', u'show', u'certain', u'doctor', u'it', u'member', u'thing', u'famili', u'order'])","[0.06666666666666667, 0.1875, 0.03225806451612903, 0.03333333333333333, 0.125, 0.03333333333333333, 0.03125, 0.03333333333333333, 0.03225806451612903, 0.1111111111111111, 0.3333333333333333, 0.5, 0.14285714285714285, 0.5, 0.25, 0.5, 0.3333333333333333, 0.1111111111111111, 0.125, 0.16666666666666666, 0.125, 0.1, 0.125, 0.1111111111111111, 0.5, 0.14285714285714285, 0.5, 0.25, 0.5, 0.3333333333333333, 0.16666666666666666, 1.0, 0.3333333333333333, 1.0, 0.5, 0.16666666666666666, 0.2857142857142857, 0.16666666666666666, 0.14285714285714285, 0.3333333333333333, 1.0, 0.5, 0.3333333333333333, 0.25, 0.5]",0.4,"[0.0, 0.24444444444444446, 0.51111111111111118, 0.73333333333333339, 0.73333333333333339, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 1.0]"
14,use them on a float for a parade to show whatever theme you are trying to represent during the event,251,"set([u'tri', u'use', u'show', u'parad', u'float', u'repres', u'theme', u'whatev', u'event'])","[0.03333333333333333, 0.125, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.1875, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.1, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333]",0.6,"[0.0, 0.22222222222222221, 0.41666666666666663, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 1.0]"
15,"hot air balloon shows,",1499,"set([u'hot', u'balloon', u'air'])","[0.3333333333333333, 0.3333333333333333, 1.0]",0.6,"[0.0, 0.0, 0.0, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 1.0]"
16,Use during fashion shows to highlight clothing on the models.,1652,"set([u'use', u'fashion', u'show', u'cloth', u'highlight', u'model'])","[0.06666666666666667, 0.1875, 0.13333333333333333, 0.03333333333333333, 0.03225806451612903, 0.1111111111111111, 0.09523809523809523, 0.5, 0.3333333333333333, 0.07407407407407407, 0.125, 0.1111111111111111, 0.047619047619047616, 0.045454545454545456, 0.5]",0.6,"[0.0, 0.59999999999999998, 0.79999999999999993, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,back drops for theater productions. This makes scenery easy to change from scene to scene,2124,"set([u'product', u'theater', u'easi', u'make', u'drop', u'back', u'scene', u'sceneri', u'thi', u'chang'])","[1.0, 1.0, 0.07692307692307693, 1.0, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 1.0, 0.07692307692307693, 1.0, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 0.07692307692307693, 1.0, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 0.07692307692307693, 0.07142857142857142, 0.07692307692307693, 0.07142857142857142, 0.07142857142857142, 0.05714285714285714, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 0.5, 0.3333333333333333, 0.3333333333333333, 0.04, 0.5, 0.5, 0.041666666666666664, 0.3333333333333333, 0.08333333333333333, 0.04]",0.4,"[0.0, 0.37777777777777777, 0.37777777777777777, 0.44444444444444442, 0.44444444444444442, 0.77777777777777779, 0.77777777777777779, 0.77777777777777779, 0.77777777777777779, 1.0]"
18,You can use it to display videos while taking shower or brushing your teeth.,654,"set([u'use', u'shower', u'video', u'take', u'teeth', u'you', u'display', u'brush'])","[0.03333333333333333, 0.06451612903225806, 0.03225806451612903, 0.03333333333333333, 0.09090909090909091, 0.11627906976744186, 0.03333333333333333, 0.3333333333333333, 0.5, 1.0, 0.16666666666666666, 0.05555555555555555, 1.0, 0.25, 0.3333333333333333, 0.125, 0.16666666666666666, 0.3333333333333333, 0.5, 0.14285714285714285, 0.05263157894736842, 0.5, 0.16666666666666666, 0.05555555555555555, 1.0, 0.09090909090909091, 0.16666666666666666, 0.05555555555555555]",0.4,"[0.0, 0.39285714285714279, 0.64285714285714279, 0.7857142857142857, 0.7857142857142857, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 1.0]"
19,A towel that is heat sensitive and adjusts its color otherwise.,1443,"set([u'a', u'towel', u'sensit', u'color', u'heat', u'adjust', u'otherwis'])","[0.2, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.2, 0.16666666666666666, 0.5, 0.125, 0.5, 1.0, 0.5, 0.1111111111111111, 1.0, 0.5, 0.3333333333333333, 0.1111111111111111, 0.125, 0.1111111111111111, 0.5, 0.3333333333333333, 0.5]",0.4,"[0.0, 0.19047619047619047, 0.52380952380952372, 0.61904761904761907, 0.61904761904761907, 0.90476190476190466, 0.90476190476190466, 0.90476190476190466, 0.90476190476190466, 1.0]"
20,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.,683,"set([u'offer', u'food', u'coat', u'could', u'restaur', u'display', u'chef', u'waiter', u'menu', u'imag'])","[0.5, 1.0, 0.08333333333333333, 0.3333333333333333, 0.05555555555555555, 1.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.5, 0.07692307692307693, 0.25, 0.1111111111111111, 0.5, 0.5, 0.25, 0.1, 0.08333333333333333, 0.3333333333333333, 0.05555555555555555, 1.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.07142857142857142, 0.2, 0.08333333333333333, 0.08333333333333333, 0.07142857142857142, 0.23529411764705882, 0.05, 0.3333333333333333, 0.3333333333333333, 1.0, 0.09090909090909091, 0.05555555555555555, 0.05555555555555555, 0.05, 0.17391304347826086, 1.0, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.09090909090909091]",0.4,"[0.0, 0.46666666666666667, 0.51111111111111118, 0.75555555555555565, 0.75555555555555565, 0.84444444444444455, 0.84444444444444455, 0.84444444444444455, 0.84444444444444455, 1.0]"
21,Interactive menus at restaurants - press to learn more about an item,2130,"set([u'menu', u'interact', u'restaur', u'item', u'learn', u'press'])","[0.1, 1.0, 0.25, 0.3333333333333333, 0.3333333333333333, 0.1, 0.1111111111111111, 0.125, 0.125, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 1.0]",0.4,"[0.0, 0.20000000000000001, 0.33333333333333331, 0.73333333333333328, 0.73333333333333328, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 1.0]"
22,Menu boards for restaurants that can be changed or let people know when things are sold out,2145,"set([u'menu', u'sold', u'restaur', u'thing', u'let', u'board', u'peopl', u'chang', u'know'])","[0.25, 1.0, 0.2, 0.3333333333333333, 0.25, 0.1111111111111111, 0.038461538461538464, 0.3333333333333333, 0.25, 0.25, 0.5, 0.3333333333333333, 0.125, 0.04, 0.5, 0.2, 0.3333333333333333, 0.25, 0.1111111111111111, 0.038461538461538464, 0.3333333333333333, 0.3333333333333333, 0.25, 0.1111111111111111, 0.08, 0.3333333333333333, 0.5, 0.14285714285714285, 0.041666666666666664, 1.0, 0.125, 0.04, 0.5, 0.03333333333333333, 0.14285714285714285, 0.041666666666666664]",0.4,"[0.0, 0.30555555555555558, 0.47222222222222221, 0.83333333333333326, 0.83333333333333326, 0.94444444444444442, 0.94444444444444442, 0.94444444444444442, 0.94444444444444442, 1.0]"
23,Interactive text books for students,1603,"set([u'text', u'interact', u'book', u'student'])","[0.125, 0.5, 1.0, 0.1111111111111111, 0.125, 0.5]",0.4,"[0.0, 0.16666666666666666, 0.5, 0.5, 0.5, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 1.0]"
24,You can use it for research with aquatic animals. And show them stimulating photos underwater,1754,"set([u'and', u'use', u'anim', u'show', u'aquat', u'stimul', u'research', u'photo', u'you', u'underwat'])","[0.03333333333333333, 1.0, 0.125, 1.0, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 0.03333333333333333, 0.1875, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.09090909090909091, 0.03333333333333333, 0.125, 1.0, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 0.125, 0.125, 0.125, 0.125, 0.07692307692307693, 0.125, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 1.0, 0.16666666666666666, 1.0, 0.16666666666666666, 1.0, 0.16666666666666666]",0.6,"[0.0, 0.20000000000000001, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 1.0]"
