,content,id,stems
0,Make your own invisible cloak.,1279,[u'make']
1,A tent that blends in with its sorouundings,1942,[u'a']
2,invisibility cloak,2023,[]
3,an indoor mural that can change,208,[u'chang']
4,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.,504,"[u'use', u'fabric', u'frame', u'display', u'like']"
5,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example.",803,"[u'make', u'it', u'base', u'chang', u'differ', u'day']"
6,Make pretty cool little pictures appear on a white surface,1330,[u'make']
7,"Use it as a canvas for art, as it reacts to touch.",1424,"[u'use', u'touch']"
8,Fabric posters that change display,2018,"[u'chang', u'fabric', u'display']"
9,use to project paintings in frames so you can change the art at whim,2123,"[u'use', u'frame', u'chang']"
10,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost,291,"[u'use', u'like', u'peopl', u'imag']"
11,Door mat that could leave messages for people at the door.,1628,"[u'peopl', u'could']"
12,it can be used to do skype sessions so someone can feel and touch objects,2177,"[u'use', u'touch']"
13,It can be used by doctors in order to show patients and family members certain things,2187,"[u'use', u'show', u'it']"
14,use them on a float for a parade to show whatever theme you are trying to represent during the event,251,"[u'use', u'show']"
15,"hot air balloon shows,",1499,[u'show']
16,Use during fashion shows to highlight clothing on the models.,1652,"[u'use', u'show', u'cloth']"
17,back drops for theater productions. This makes scenery easy to change from scene to scene,2124,"[u'make', u'chang']"
18,You can use it to display videos while taking shower or brushing your teeth.,654,"[u'use', u'you', u'display']"
19,A towel that is heat sensitive and adjusts its color otherwise.,1443,"[u'a', u'color']"
20,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.,683,"[u'could', u'display', u'imag']"
21,Interactive menus at restaurants - press to learn more about an item,2130,[u'interact']
22,Menu boards for restaurants that can be changed or let people know when things are sold out,2145,"[u'peopl', u'chang']"
23,Interactive text books for students,1603,[u'interact']
24,You can use it for research with aquatic animals. And show them stimulating photos underwater,1754,"[u'use', u'show', u'you']"
25,in the classroom make a giant interactive map,1973,"[u'make', u'interact']"
26,It can be used in school as a way to show kids how different climates in different places might feel,2189,"[u'use', u'show', u'it', u'differ', u'kid']"
27,replays at the sporting event,1575,[]
28,Schools can use it as a scoreboard at games,2148,"[u'game', u'use']"
29,It will remind you about daily activities.,746,[u'it']
30,work projekcts,1066,[]
31,keep reminders,1083,[]
32,WiFi connectivity which could be used to search google right through the clothing.,1363,"[u'could', u'use', u'cloth']"
33,ability to write notes on clothes with touch sense,1591,"[u'cloth', u'touch']"
34,clothing with smartphone technology in a display,1810,"[u'cloth', u'display']"
35,"a shirt that you can load data into the sleeve on, in case you need notes about something later",1921,"[u'shirt', u'someth']"
36,fabric billboards with advertisements,200,"[u'billboard', u'fabric']"
37,Create wearable advertisements where messages/brands on shirts/pants change periodically,573,"[u'chang', u'creat']"
38,Business ad sheet display. Used to advertise business info in front of shop.,608,"[u'use', u'display']"
39,Large advertising billboards that change based on time of day or day of the week in order to target different audiences.,806,"[u'differ', u'day', u'base', u'billboard', u'chang']"
40,Personalized billboards from companies that reflect changes in weather.,1143,"[u'billboard', u'chang']"
41,use it as a billboard,1874,"[u'billboard', u'use']"
42,can create interactive billboards or street signs,1984,"[u'billboard', u'interact', u'creat']"
43,Airplane draggable banner that can display anything,2004,[u'display']
44,clothing for people who enjoy going to raves,263,"[u'cloth', u'go', u'peopl']"
45,t-shirts with built in fabric display. It can be used at kids parties for fun.,646,"[u'use', u'it', u'fabric', u'display', u'kid']"
46,fabric glasses. You can wear it anytime and enjoy your movies or soothing images.,665,"[u'fabric', u'imag', u'you']"
47,Synchronization of clothing for public displays. [e.g. the opening ceremony of a grand event or for sports competitions.],1383,"[u'display', u'cloth']"
48,Shirt shaped like a guitar perfect for strumming on the go.,1467,"[u'shirt', u'go', u'like']"
49,More realistic Halloween costumers,1770,[]
50,Make bright vests that always glow for workers that work outside at night.,243,"[u'make', u'night']"
51,light up children at night so parents can see them,1264,"[u'light', u'night']"
52,Something to identify your child if he/she is lost or kidnapped. Like an alarm that goes off if the child goes off of an expected route to school or something. The clothing starts lighting up and grabs the attention of others.,1301,"[u'like', u'light', u'someth', u'cloth']"
53,"Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress.",1600,"[u'fabric', u'color']"
54,"Bike shorts that display a bright yellow line down the side. You could turn these on via wi-fi on your phone, and turn it off when you get to your destination.",1660,"[u'could', u'you', u'display']"
55,This could be great for joggers or people that work in high traffic areas to increase their safety and visibility.,1703,"[u'peopl', u'could']"
56,project your favorite logo on your clothes,139,[u'cloth']
57,"Put it on a shirt and have ""image changing"" clothing.",285,"[u'put', u'chang', u'imag', u'shirt', u'cloth']"
58,you can have different colored shirts or pants very easily without needing to buy duplicates,308,"[u'differ', u'shirt', u'color']"
59,"Interchangeable Uniform (one outfit programmed for the division, FBI/SWAT etc without having to print different sets)",364,[u'differ']
60,clothes that change color/pattern with emotion using the touch sensor,378,"[u'use', u'cloth', u'touch', u'chang']"
61,"Sports clothes that can change through out the year, showing your support for your team as a season progresses.",385,"[u'show', u'cloth', u'chang']"
62,"Clothes that have interchangeable logos, etc.",552,[u'cloth']
63,sports teams gear,633,[]
64,"Put indicators of mood on clothing. If you don't want to be bothered, put something that indicates that.",1159,"[u'cloth', u'put', u'someth']"
65,Use for people to design their own t-shirts.  People could create a design on a computer and then upload the image to the shirt.,1280,"[u'use', u'shirt', u'creat', u'peopl', u'could', u'imag']"
66,a shirt that has a couple different patterns you can choose from to coordinate with your other clothes.,1310,"[u'differ', u'shirt', u'cloth']"
67,Ties that can change styles with the touch of a button.,1315,"[u'touch', u'chang']"
68,"Wearable picture frames that change pictures the way digital frames do, except you can wear these.",1332,"[u'frame', u'chang']"
69,You can create shirts with watches in the cuffs.,1369,"[u'you', u'shirt', u'creat']"
70,night light pajamas,1614,"[u'light', u'night']"
71,"Perfect clothes for a date, can change based on where you take your date and what's appropriate for the area.",1647,"[u'cloth', u'base', u'chang']"
72,"Since it is made out of fabric, this could one day be used as some sort of fashion item where images and videos are displayed onto a person's clothing.",1653,"[u'use', u'cloth', u'fabric', u'display', u'could', u'imag', u'day']"
73,Being able to change the patterns on your clothing to match your mood throughout the day,1654,"[u'cloth', u'chang', u'day']"
74,Clothing that can be changed from casual to formal colors and patterns.,1976,"[u'color', u'cloth', u'chang']"
75,color changing clothes.  The clothes change color everytime they are touched,2043,"[u'color', u'cloth', u'touch', u'chang']"
76,"A changeable room environment. Large panels of fabric hung like wallpaper on the walls of a room could create an entire environment to resemble a bamboo forest, for example, or an alpine lakeshore. The fabric could display moving wildlife such as pandas in the bamboo forest or birds on the shore of the mountain lake. The possibilities are endless!",215,"[u'creat', u'fabric', u'like', u'a', u'could', u'display']"
77,upholstery material that changes color or patterns,248,"[u'color', u'chang']"
78,bed sheets (sold in adult stores) which display an array of colors during love making,306,"[u'color', u'display', u'make']"
79,curtains that change colors/play background images like jungle scenery.,554,"[u'like', u'imag', u'chang']"
80,Use it on table cloths. You could change it seasonally or just whenever you want depending on the function you're putting on.,1995,"[u'use', u'could', u'cloth', u'put', u'chang', u'you']"
81,make pillows that look brighter during the day and darker at night (time based color shifting),2002,"[u'color', u'make', u'day', u'base', u'night']"
82,"Furniture, changes when you sit on it or based on the users desire.",2149,"[u'base', u'chang']"
83,Curtains that block light but project the view outside,2156,[u'light']
84,"If your bedsheets could display a high resolution image of a super model, well then you'd be set for life.",2218,"[u'could', u'imag', u'display']"
85,night light for kids room,1334,"[u'light', u'kid', u'night']"
86,Pillows with built-in sleep sounds and visuals.,1637,[]
87,Mood changing bed comforter,2047,[u'chang']
88,"An interactive sheet for pets.  They can lay on it, and it'll keep them entertained.",1865,[u'interact']
89,Can be used as a part of a phone.,766,[u'use']
90,Replace stiff monitors.,1107,[]
91,Integrate it somehow with 3D printing technology.,1195,[]
92,hide a seek on a blanket,157,[]
93,Make soft interactive baby toys that are safe for use even when parents aren't around.,237,"[u'use', u'make', u'interact']"
94,Entertain a child,556,[]
95,Tie in with Twister to make a spinner unneccesary - spots light up where the next body part should go.,592,"[u'light', u'make', u'go']"
96,"Use it on the floor to make a far more realistic version of ""the floor is lava"" game",777,"[u'use', u'make', u'game']"
97,games,1077,[u'game']
98,Make it into a trampoline - foot touch.,1251,"[u'touch', u'make']"
99,"make a rug that can display different games like twister, hopscotch etc.",1458,"[u'differ', u'like', u'make', u'game', u'display']"
100,Dance floor carpet that flashes the next foot print spot after dancer hits appropriate spot.,1490,[]
101,"It could be used as a versatile game board, like for board games.",1527,"[u'use', u'like', u'could', u'it', u'game']"
102,"A backpack for kids, they can play with it on the bus.",1569,"[u'a', u'kid']"
103,Portable tv,521,[]
104,"Be able to use your computer on the go, on any surface with a piece of cloth.",1214,"[u'use', u'cloth', u'go']"
105,"used with phone for larger screen/portability,",1482,[u'use']
106,use to show movies anywhere,1573,"[u'use', u'show']"
107,Use the fabric as a projector to watch movies,1831,"[u'use', u'fabric']"
108,Parents could show kids movies int he back seat of the car without having to have a portable DVD player.,1908,"[u'could', u'show', u'kid']"
109,use it to project your smart phone screen,2155,[u'use']
110,holders for different foods that display the food on the outside,272,"[u'differ', u'display']"
111,An oven mit that is heat sensitive that turns red when something is very hot and cold when very cold.,1470,[u'someth']
112,Put a small piece in a car where it can display directions through touch.,337,"[u'touch', u'put', u'display']"
113,car upholstery that lightens in hot weather,444,[]
114,Interactive map at a mall hang it up and touch were you want to go,1316,"[u'interact', u'go', u'touch']"
115,Use as a strategic planning surface in wartime. A foldable interactive map,1570,"[u'a', u'use', u'interact']"
116,to have the fabric on car doors so they can display images and videos while driving in traffic so other people will see the information while on the roads,2027,"[u'fabric', u'imag', u'peopl', u'display']"
117,Newspaper screen that expands certain articles when you touch them.,1408,[u'touch']
118,Perhaps a new medium to replace magazine pages?,1786,[]
119,"Single page, fabric books that can keep a saved state and be changed.",2024,"[u'fabric', u'chang']"
